Name,Category,Subcategory,Logo URL,Pricing,Direct Link,Description
Component Gallery,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://component.gallery,Research components and its properties names throught main public documentations
Collect UI,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://collectui.com,Gallery of UI elements for inpsiration
Saas Landing Pages,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://saaslandingpage.com,Inspirational gallery of hundreds of different landing page designs for Saas products
UI garage,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://uigarage.net,Showcases of various UI designs for inspiration
Landingfolio,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://www.landingfolio.com,Gallery of hundreds of landing pages with easy filtering and generation of used colour scales
SCRNTSHTS,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://scrnshts.club,Gallery of screenshots from aapstore
Bestfolios,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://www.bestfolios.com,Gallery of portfolios
Design Systems for Figma,Research,Visual-Libraries,https://raw.githubusercontent.com/michalklimt/UIT-V3/main/imgs/logos/Component-gallery-Logo.png,Free,https://www.designsystemsforfigma.com,Library of the largest publicly accessible design systems in Figma
